OXY,EMG,ECG,RSP,OXY,OXY,OXY,
PO2,mV,mV,V,Pulse,BPM,Status,
CH1,CH2,CH3,CH4,CH5,CH9,CH13,
96.0211,-0.496704,-0.824219,8.97186,-7.12713,74.2548,0.00718031,
96.0116,-0.305664,-1.11511,8.97186,-7.13167,74.2354,0.00957405,
95.9924,-0.175903,-1.26013,8.97156,-7.13621,74.2548,0.00239283,
96.0403,0.0239868,-1.23883,8.97186,-7.13621,74.2354,0.00957405,
96.0116,0.233643,-1.05731,8.97125,-7.14074,74.2548,0.00718031,
96.0211,0.356873,-0.736023,8.97186,-7.14528,74.2354,0.00957405,
96.0116,0.444519,-0.315979,8.97217,-7.14377,74.2161,0.00957405,
96.002,0.487793,0.143677,8.97156,-7.14528,74.2161,0.00957405,
96.0211,0.468506,0.574768,8.97125,-7.1483,74.2354,0.00718031,
96.0211,0.321106,0.917786,8.97156,-7.15133,74.2548,0.00718031,
96.0211,0.171387,1.12518,8.97095,-7.14981,74.2161,0.00478657,
96.0116,-0.0274048,1.16455,8.97125,-7.15435,74.2354,0.00957405,
96.0116,-0.202637,1.03101,8.97064,-7.15435,74.2354,0.00478657,
95.9924,-0.374512,0.744019,8.97125,-7.15737,74.2548,0.00957405,
96.0211,-0.486206,0.347229,8.97095,-7.15737,74.2354,0.00718031,
96.002,-0.528259,-0.102905,8.97064,-7.15889,74.2161,0.00718031,
96.0116,-0.526367,-0.541931,8.97064,-7.15737,74.2548,0.00718031,
96.0116,-0.44043,-0.910522,8.97095,-7.15586,74.2741,0.00478657,
96.0116,-0.28949,-1.15869,8.97064,-7.15889,74.2161,0.00718031,
96.0116,-0.112793,-1.25116,8.97125,-7.15889,74.2161,0.00718031,
96.0116,0.115417,-1.17798,8.97064,-7.1604,74.2354,0.00478657,
96.002,0.299377,-0.948425,8.97034,-7.15889,74.2161,0.00957405,
96.002,0.381958,-0.590332,8.97003,-7.16342,74.2161,0.0119678,
96.002,0.466187,-0.149414,8.96973,-7.16191,74.2548,0.00957405,
96.0116,0.480469,0.308228,8.97034,-7.16191,74.2161,0.00957405,
95.9924,0.439453,0.717834,8.97003,-7.16191,74.2548,0.00957405,
96.0211,0.294006,1.02448,8.97095,-7.16191,74.2161,0.00957405,
96.0116,0.144287,1.18353,8.97034,-7.16342,74.2548,0.00718031,
96.0307,-0.0511475,1.16821,8.97034,-7.1604,74.2161,0.0119678,
96.0116,-0.277527,0.979919,8.96942,-7.16493,74.1774,0.00239283,
95.9924,-0.423462,0.647522,8.97034,-7.16191,74.2161,0.00718031,
96.0211,-0.510315,0.220337,8.97064,-7.16342,74.2354,0.00957405,
95.9924,-0.539062,-0.239075,8.97034,-7.16342,74.2161,0.0119678,
96.002,-0.49231,-0.663086,8.96973,-7.16191,74.1774,0.00478657,
96.0307,-0.362427,-0.995422,8.96973,-7.16342,74.2161,0.00478657,
96.0116,-0.23584,-1.19,8.96912,-7.16493,74.2161,0.00478657,
96.0211,-0.0136719,-1.21985,8.96942,-7.16493,74.2354,0.0119678,
96.0116,0.186157,-1.08575,8.96942,-7.16342,74.2548,0.0119678,
95.9924,0.302429,-0.80426,8.96942,-7.16645,74.2161,0.00478657,
96.0211,0.409058,-0.409607,8.96912,-7.16645,74.2354,0.00957405,
96.0116,0.452576,0.0454102,8.96851,-7.16645,74.2741,0.00718031,
96.0116,0.445862,0.494812,8.96881,-7.16493,74.2161,0.00718031,
96.0211,0.358459,0.874207,8.96912,-7.16796,74.2548,0.00957405,
96.002,0.212646,1.13202,8.9679,-7.16645,74.2161,0.00478657,
95.9924,0.0395508,1.22919,8.96912,-7.16493,74.1968,0.00957405,
96.002,-0.160095,1.14984,8.96881,-7.16796,74.2741,0.00957405,
96.002,-0.345276,0.906372,8.9682,-7.16645,74.1968,0.0119678,
96.0116,-0.462036,0.536255,8.96881,-7.16645,74.2548,0.0119678,
96.0116,-0.524963,0.0936279,8.96881,-7.16493,74.2354,0.00957405,
96.0116,-0.528748,-0.357849,8.9682,-7.16645,74.1968,0.00478657,
96.002,-0.482178,-0.753174,8.9682,-7.16493,74.2354,0.00478657,
96.0211,-0.310547,-1.04028,8.96759,-7.16645,74.2548,0.0119678,
96.0116,-0.17218,-1.17719,8.96729,-7.16645,74.1968,0.00957405,
96.0307,0.0369263,-1.1449,8.9682,-7.16645,74.2354,0.00718031,
96.002,0.22113,-0.95343,8.9679,-7.16796,74.1968,0.00957405,
96.0116,0.372192,-0.629089,8.96698,-7.16493,74.2354,0.00957405,
96.0211,0.460266,-0.209656,8.96729,-7.16947,74.2161,0.00478657,
96.0211,0.467102,0.246277,8.96729,-7.16645,74.2354,0.00718031,
96.0307,0.445923,0.676575,8.96698,-7.16493,74.2548,0.0119678,
96.0116,0.324402,1.02271,8.96759,-7.16645,74.2161,0.00478657,
96.0116,0.187378,1.23615,8.96667,-7.16796,74.2548,0.00718031,
96.002,0.0164795,1.28192,8.96698,-7.16493,74.2354,0.00718031,
96.002,-0.189209,1.15259,8.96667,-7.16493,74.1968,0.00718031,
96.002,-0.379883,0.867615,8.96606,-7.16645,74.1774,0.00957405,
96.0116,-0.47345,0.469727,8.96606,-7.16493,74.1968,0.0119678,
96.0211,-0.547791,0.0148315,8.96545,-7.16796,74.2161,0.00718031,
96.0211,-0.534485,-0.429504,8.96576,-7.16645,74.2548,0.00718031,
95.9924,-0.429504,-0.799683,8.96545,-7.16645,74.2354,0.00957405,
96.0116,-0.264954,-1.04639,8.96515,-7.16493,74.2354,0.00478657,
96.002,-0.0932617,-1.13397,8.96484,-7.16796,74.2161,0.00718031,
96.002,0.129639,-1.05444,8.96423,-7.16342,74.2548,0.00957405,
96.002,0.28894,-0.820374,8.96454,-7.16342,74.2354,0.00718031,
95.9924,0.412415,-0.458252,8.96362,-7.16645,74.2548,0.00957405,
95.9924,0.461304,-0.0134888,8.96393,-7.16645,74.2161,0.0119678,
96.0116,0.457031,0.44989,8.96301,-7.16645,74.2354,0.00957405,
96.0116,0.425171,0.864197,8.96301,-7.16493,74.2161,0.00957405,
96.002,0.282959,1.17291,8.9624,-7.16342,74.2354,0.0119678,
96.0211,0.139709,1.33069,8.9624,-7.16493,74.1968,0.00478657,
95.9828,-0.06073,1.31348,8.9624,-7.16645,74.2548,0.00718031,
95.9828,-0.277405,1.1236,8.9624,-7.16493,74.2161,0.0143615,
96.002,-0.424133,0.790588,8.9621,-7.16645,74.2354,0.00957405,
96.0116,-0.502319,0.363342,8.9621,-7.16493,74.2741,0.00957405,
96.0211,-0.52594,-0.0966797,8.96088,-7.16493,74.2548,0.00718031,
96.0211,-0.486084,-0.522278,8.96118,-7.16493,74.1968,0.00478657,
96.0116,-0.363831,-0.854797,8.96088,-7.16645,74.2354,0.00239283,
96.0211,-0.206909,-1.04669,8.96118,-7.16645,74.2354,0.00957405,
96.002,-0.0192261,-1.07355,8.96057,-7.16645,74.2161,0.00957405,
96.0116,0.1745,-0.938477,8.96088,-7.16796,74.2161,0.00239283,
96.0116,0.332092,-0.660706,8.96057,-7.16796,74.2161,0.00478657,
96.002,0.402527,-0.268372,8.95996,-7.16493,74.1968,0.00957405,
96.0211,0.466431,0.183899,8.95966,-7.16493,74.2161,0.00957405,
96.0116,0.452942,0.631409,8.95966,-7.14225,74.2161,0.00957405,
95.9828,0.380859,1.00995,8.95874,-7.10445,74.2354,0.00957405,
96.0116,0.237427,1.26715,8.95874,-7.06363,74.1968,0.0119678,
95.9924,0.0495605,1.36353,8.95935,-7.03187,74.2161,0.00718031,
96.0307,-0.121155,1.28412,8.95874,-6.9971,74.2354,0.00957405,
96.002,-0.331787,1.03943,8.95844,-6.97291,74.2161,0.0119678,
96.002,-0.449097,0.668396,8.95782,-6.94569,74.1968,0.0119678,
96.002,-0.521667,0.224243,8.95844,-6.91998,74.2354,0.00718031,
96.002,-0.509583,-0.229309,8.95813,-6.90184,74.2161,0.00239283,
96.002,-0.454834,-0.628723,8.95721,-6.8837,74.2354,0.00478657,
96.0116,-0.319824,-0.923401,8.95752,-6.86555,74.2161,0.00718031,
95.9924,-0.157471,-1.06976,8.95752,-6.84892,74.2741,0.00718031,
96.002,0.0928345,-1.04901,8.95691,-6.83531,74.2354,0.00239283,
96.002,0.255005,-0.86731,8.9563,-6.82473,74.2354,0.00718031,
96.002,0.380676,-0.54657,8.9566,-6.81263,74.2741,0.00478657,
96.0116,0.473999,-0.125916,8.95538,-6.79902,74.2354,0.00957405,
95.9924,0.462646,0.334167,8.95599,-6.79297,74.2548,0.00957405,
95.9924,0.46167,0.766357,8.95569,-6.78239,74.2161,0.00478657,
96.0116,0.339722,1.1098,8.95538,-6.77634,74.2354,0.00957405,
95.9924,0.207886,1.31604,8.95599,-6.76727,74.2548,0.00957405,
96.002,-0.0252075,1.35205,8.95599,-6.75971,74.2354,0.0143615,
96.0116,-0.200073,1.21332,8.95538,-6.73249,74.2548,0.0119678,
95.9924,-0.37085,0.917725,8.95477,-6.61304,74.2161,0.00718031,
96.0116,-0.467163,0.508728,8.95416,-6.50115,74.2354,0.00957405,
95.9828,-0.502441,0.0453491,8.95386,-6.40136,74.1968,0.00957405,
96.0116,-0.519348,-0.40448,8.95477,-6.31063,74.2354,0.00957405,
96.002,-0.407776,-0.778687,8.95416,-6.2305,74.2354,0.00957405,
95.9924,-0.256226,-1.03094,8.95447,-6.15641,74.1968,0.00478657,
